,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
212081,Miscellaneous Contracted Srvcs,Special Education,,,,General,Special Education,,Curriculum & Instructional Staff Development,,,-0.5,,,IDEA-B Formula,
13790,Professional Salaries,Athletics and Related,,T-HS ATHL,,General,School ,0.2,Cocurricular & Extra Curricular Activities,,,12509.79947,,,Athletics,
187143,Professional Salaries,Bilingual Education,,T-EL KIN BIL,,General,School ,1,Instruction,,,52852.12367,,,General Fund,
241290,Professional Salaries,Bilingual Education,,T-EL KIN ESL,,General,School ,1,Instruction,,,57151.03221,,,General Fund,
186448,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, BASKETBALL",,General,School ,,Cocurricular & Extra Curricular Activities,,,2074.865057,,,Athletics,
67346,Professional Salaries,Accelerated Education,,T-HS ITINERANT,,General,Homebound,1,Instruction,,,53190.31357,,,General Fund,
24526,Employee Allowance,Special Education,,TRAVEL,,General,Special Ed Evaluation Services,,"Guidance, Counseling and Evaluation Services",,,666.4552552,,,General Fund,
35928,Salaries for Support Personnel,Undistributed,,EXEC ASST I,,General,Office of Facilities,1,Plant Maintenance & Operations,,,53508.17547,,,General Fund,
290134,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,29018.32929,,,General Fund,
7831,Professional Salaries,Accelerated Education,,MENTOR TCHR,,General,School ,1,Curriculum & Instructional Staff Development,,,65005.24275,,,Teacher Incentive Grant (TIF) Effective  ,
406354,General Supplies,Accelerated Education,,,,Drop Out Initiative,Summer School,,Instruction,,,351.02,,,General Fund,
446263,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,1695.93,,,Nat'l Schl Breakfast & Lunch Prog.,
335861,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1,Instruction,,,54112.14759,,,General Fund,
263842,Employee Travel  (including In-District and Out-of-District),Special Education,,,,General,Center,,Instruction,,,2764.27,,,General Fund,
102780,Professional Salaries,Bilingual Education,,T-EL 4TH BIL,,General,School ,1,Instruction,,,52740.16087,,,General Fund,
58206,Professional Salaries,Bilingual Education,,T-EL 1ST BIL,,General,School ,1,Instruction,,,52739.54087,,,General Fund,
40466,Professional Salaries,,,Teacher - HS Math / Science,,,School ,1,,,,55692.46474,,,General Fund,
290501,Professional Salaries,Accelerated Education,,PARENT PGM COOR,,Family Resource Center,"School, Family and Community Education",0.5,Community Services,,,51349.49329,,,General Fund,
244383,Food/Refreshment,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,2499.65,,,General Fund,
124469,Professional Salaries,Bilingual Education,,T-EL 2ND ESL,,General,School ,1,Instruction,,,53437.91022,,,General Fund,
131398,Food/Refreshment,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,0.66,,,General Fund,
92547,Miscellaneous Contracted Srvcs,Special Education,,,,Early Intervention Services,Response to Intervention,,Curriculum & Instructional Staff Development,,,-0.19,,,IDEA-B Formula,
329303,Salaries for Support Personnel,Undistributed,,GRDS CREW LDR,,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,,,46019.48295,,,General Fund,
21280,Salaries for Support Personnel,Undistributed,,,,General,School ,,Security & Monitoring Servicess,,,0.32,,,General Fund,
272283,Salaries for Support Personnel,Undistributed,,CLERK III- SCH,,General,School ,1,School Leadership,,,26338.82418,,,General Fund,
220370,Salaries for Support Personnel,Special Education,,ADMIN ASST II,,General,ABD,1,School Leadership,,,37208.63474,,,General Fund,
444414,Substitute Teachers,Basic Educational Services,,,,General,School ,,Instruction,,,82490.17966,,,General Fund,
446931,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,34990.41294,,,General Fund,
174923,Professional Salaries,Basic Educational Services,, SPANISH,,General,School ,1,Instruction,,,55799.60654,,,General Fund,
295961,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Instructional Resource & Media Services,,,210.59,,,General Fund,
136339,Extra Duty/Signing Bonus Pay,State Comp.Ed.-Support Title I Campuses,,,,Account For Learning,,,Instruction,,,10960.29432,,,General Fund,
97979,Professional Salaries,Basic Educational Services,, MATH,,General,School ,0.33,Instruction,,,17783.10286,,,General Fund,
157486,Professional Salaries,Undistributed,,COUNS- HS,,General,School ,1,"Guidance, Counseling and Evaluation Services",,,73251.2866,,,General Fund,
182998,Copier Rental,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,11972.1,,,General Fund,
72189,Software,Undistributed,,,,General,Core Curriculum,,Curriculum & Instructional Staff Development,,,475.12,,,General Fund,
353800,Extra Duty/Overtime,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Security & Monitoring Servicess,,,545.6192255,,,General Fund,
436640,Substitute Teachers,Basic Educational Services,,,,General,School ,,Instruction,,,75910.98575,,,General Fund,
78414,Field Trips,Accelerated Education,,,,Summer Program,Summer School,,Instruction,,,5942.57,,,General Fund,
315931,Student Meals/Room/Other,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,6000.5,,,General Fund,
310172,Design Fees,Undistributed,,,,General,Construction Management,,Plant Maintenance & Operations,,,863338.52,,,General Fund,
47074,Extra Duty/Overtime,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,2929.726286,,,General Fund,
291746,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,34950.23286,,,General Fund,
420164,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,29805.64689,,,General Fund,
290706,Substitute Teachers,Undistributed,,TEACHER SUB,,General,Substitute,,Instruction,,,11092.52,,,General Fund,
414396,Career Ladder,Basic Educational Services,,,,General,School ,,Instruction,,,1638.597677,,,General Fund,
13749,Employee Travel  (including In-District and Out-of-District),Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,100.67,,,General Fund,
20334,General Supplies,Basic Educational Services,,,,Science,School ,,Instruction,,,1000.6,,,General Fund,
113743,Professional Salaries,Basic Educational Services,, P.E.,,General,School ,1,Instruction,,,59603.73785,,,General Fund,
76547,Non Food,Undistributed,,,,Warehouse Operations,School ,,Food Services,,,1227.16,,,Nat'l Schl Breakfast & Lunch Prog.,
394773,,Career and Technology,,,,Auto Repairs/Collision,School ,,Instruction,,,2445.58,,,General Fund,
85497,Professional Salaries,Undistributed,,ELEM PRINCIPAL,,General,School ,1,School Leadership,,,100233.9628,,,General Fund,
218643,General Supplies,Basic Educational Services,,,,Music Lab,Primary Center,,Instruction,,,225.51,,,General Fund,
239498,Miscellaneous Contracted Srvcs,Accelerated Education,,,, Support,School ,,Curriculum & Instructional Staff Development,,,2000.56,,,General Fund,
324863,USDA Donated Commodities,Undistributed,,,,General,School ,,Food Services,,,4075.01,,,Nat'l Schl Breakfast & Lunch Prog.,
159032,Professional Salaries,Basic Educational Services,,T-EL ART,,General,School ,1,Instruction,,,56902.61313,,,General Fund,
179283,Custodial/Maint Supplies,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,6353.43,,,General Fund,
166007,Employee Allowance,Accelerated Education,,TRAVEL,,General,Learning Support Services,,Social Work Services,,,2152.946767,,,General Fund,
420424,Salaries for Support Personnel,Special Education,,BUS MONITOR,,General,Transportation Office,1,Student Transportation,,,27387.539,,,General Fund,
296112,Extra Duty/Signing Bonus Pay,Accelerated Education,,,,SSIG,School ,,Instruction,,,11818.1628,,,General Fund,
150785,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, SOCCER",,General,School ,,Cocurricular & Extra Curricular Activities,,,1815.249466,,,Athletics,
300034,Subs for Support Personnel,Basic Educational Services,,,,General,School ,,Instruction,,,10730.58403,,,General Fund,
354394,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,37481.92338,,,General Fund,
301311,General Supplies,Career and Technology,,,,Agriculture,Independence,,Instruction,,,3199.86,,,General Fund,
81807,Maint: Bldg & Grounds,Undistributed,,,,Energy Conservation - M & O,School ,,Plant Maintenance & Operations,,,7770.33,,,General Fund,
31890,Copier Rental,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,8800.07,,,General Fund,
333838,Professional Salaries,Undistributed,,HS ASST PRIN,,General,School ,1,School Leadership,,,99863.10157,,,General Fund,
58146,Salaries for Support Personnel,Undistributed,,ELCTRN TECH III,,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,,,54545.51631,,,General Fund,
329813,Electricity,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,75407.79,,,General Fund,
233277,General Supplies,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,-0.84,,,General Fund,
294751,Custodial/Maint Supplies,Undistributed,,,,General,Annex,,Plant Maintenance & Operations,,,527.31,,,General Fund,
211341,Copier Rental,Prekindergarten,,,,Line Item that is paid with Campus' money,Pre-K Center,,Instruction,,,4700.07,,,General Fund,
74556,Food ,Undistributed,,,,General,School ,,Food Services,,,117992.51,,,Nat'l Schl Breakfast & Lunch Prog.,
416774,,Special Education,,,,General,ABD,,School Leadership,,,0.07,,,General Fund,
24724,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,390.06,,,IDEA-B Formula,
273445,Professional Salaries,Basic Educational Services,,T-HS BAND,,Band,School ,1,Instruction,,,72144.31939,,,General Fund,
68382,Professional Salaries,Bilingual Education,,T-EL 3RD ESL,,General,School ,1,Instruction,,,53527.73441,,,General Fund,
97969,Salaries for Support Personnel,Undistributed,,HVY EQUIPT OPER,,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,,,37450.57584,,,General Fund,
426137,Professional Salaries,Bilingual Education,,T-EL 5TH ESL,,General,School ,1,Instruction,,,52514.6562,,,General Fund,
99714,Reproduction Services,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,-0.65,,,General Fund,
421832,Subs for Support Personnel,Undistributed,,FOOD PROD SUB,,General,Food Service,,Food Services,,,15.5,,,Nat'l Schl Breakfast & Lunch Prog.,
408283,Professional Salaries,Basic Educational Services,, ORCHESTRA,,Orchestra,School ,1,Instruction,,,54787.72833,,,General Fund,
445342,Substitute Teachers,Accelerated Education,,,,Delta,Program ABC,,Instruction,,,87.32347609,,,General Fund,
304996,Substitute Teachers,Special Education,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,-0.36,,,General Fund,
19060,Professional Salaries,Bilingual Education,,T-EL KIN ESL,,General,School ,1,Instruction,,,61627.92334,,,General Fund,
260053,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,34386.79013,,,General Fund,
385206,Professional Salaries,Special Education,,T-EL/SE LIFE SK,,General,School ,1,Instruction,,,52514.1362,,,General Fund,
5240,Testing Materials,Special Education,,,,Visual Impaired,ABD,,Instruction,,,699.62,,,Visually Impaired,
359004,Substitute Teachers,Undistributed,,TEACHER SUB,,General,Substitute,,Instruction,,,11092.38,,,General Fund,
161009,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,32377.31412,,,General Fund,
284198,Employee Travel  (including In-District and Out-of-District),State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Community Services,,,148.56,,,Title I- Part A,
270326,Professional Salaries,Special Education,,,,Speech Therapist,School ,,Instruction,,,0.06,,,IDEA-B Formula,
189939,Salaries for Support Personnel,Undistributed,,FIELD TECH II,,General,Network Support,1,Data Processing Services,,,43188.3551,,,General Fund,
134387,Extra Duty/Signing Bonus Pay,Basic Educational Services,,NATIONAL BOARD,,National Board,School ,,Instruction,,,2184.520599,,,General Fund,
377197,Extra Duty/Signing Bonus Pay,,,,,General,,,Miscellaneous,,,0.28,,,General Fund,
429456,Reproduction Services,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,2000.31,,,General Fund,
360010,Career Ladder,Basic Educational Services,,CL ,,General,School ,,Instruction,,,3276.875353,,,General Fund,
106620,Professional Salaries,Basic Educational Services,,T-EL KIN,,General,School ,1,Instruction,,,55551.80746,,,General Fund,
202536,Professional Salaries,Basic Educational Services,,T-EL P.E.,,General,School ,0.33,Instruction,,,23315.38098,,,General Fund,
418809,Gas & Other Fuels,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,3247.29,,,General Fund,
33317,Professional Salaries,Accelerated Education,, READING,,Campus Equity,School ,0.5,Instruction,,,28014.2909,,,Literacy Initiative (Effective ,
59012,Career Ladder,Basic Educational Services,,CL ,,General,School ,,Instruction,,,3277.615353,,,General Fund,
401233,Salaries for Support Personnel,Undistributed,,CHILD CARE II,,Child Care Program-Full Day,School ,0.75,Community Services,,,21192.50945,,,Child Care Program,
201722,General Supplies,Career and Technology,,,,Family & Consumer Sci-HS   ,School ,,Instruction,,,1301.65,,,General Fund,
200931,Professional Salaries,Special Education,,T-EL/SE SOC BEH,,General,School ,1,Instruction,,,52627.499,,,General Fund,
228201,Professional Salaries,State Comp.Ed.-Support Title I Campuses,,SOCIAL SVCS SPE,,Cycle  (used for grants),School ,1,Social Work Services,,,57209.03486,,,Title I Priority Schools Grant Program,
6761,Professional Salaries,Prekindergarten,,T-EL PK BIL,,Pre-K,Prekindergarten Demonstration School,1,Instruction,,,56476.40147,,,General Fund,
184211,Non Food,Undistributed,,,,Warehouse Operations,School ,,Food Services,,,1026.19,,,Nat'l Schl Breakfast & Lunch Prog.,
305307,Electricity,Undistributed,,,,General,School ,,Plant Maintenance & Operations,,,113110.96,,,General Fund,
312164,Extra Duty/Overtime,Undistributed,,,,General,Mail Room,,General Administration,,,9831.27606,,,General Fund,
223851,Part-Time Hourly,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Security & Monitoring Servicess,,,5064.681939,,,General Fund,
341142,General Supplies,Basic Educational Services,,,,Music Lab,School ,,Instruction,,,379.13,,,General Fund,
175183,Professional Salaries,Bilingual Education,,T-MS ESL RDG,,Bilingual & Spec Lang,School ,1,Instruction,,,58928.21955,,,General Fund,
72689,Salaries for Support Personnel,Undistributed,,CUST CREW LDR,,General,School ,1,Plant Maintenance & Operations,,,39095.53115,,,General Fund,
168581,,Career and Technology,,,,Eng Design Graphic,School ,,Instruction,,,-0.99,,,General Fund,
25200,Professional Salaries,Prekindergarten,,T-EL PK BIL,,Pre-K,School ,1,Instruction,,,62978.53901,,,General Fund,
152175,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,1109.8,,,General Fund,
199135,Substitute Teachers,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,7501.387504,,,General Fund,
122228,Professional Salaries,Basic Educational Services,, MATH,,General,School ,1,Instruction,,,53436.85022,,,General Fund,
91658,Substitute Teachers,Special Education,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,0.46,,,General Fund,
19986,Software,Undistributed,,,,General,Service Center Housekeeping,,Plant Maintenance & Operations,,,136.66,,,General Fund,
314634,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,799.7903062,,,General Fund,
380549,General Supplies,Basic Educational Services,,,,Art,School ,,Instruction,,,1022.09,,,General Fund,
250121,Professional Salaries,Basic Educational Services,,T-HS MATH,,General,School ,1,Instruction,,,52514.0962,,,General Fund,
48878,Salaries for Support Personnel,Undistributed,,ADMIN ASST II,,General,,1,School Leadership,,,35819.29627,,,General Fund,
246587,Extra Duty/Signing Bonus Pay,Basic Educational Services,,NATIONAL BOARD,,National Board,School ,,Instruction,,,2185.410599,,,General Fund,
441685,Professional Salaries,Special Education,,T-MS/SE SOC BEH,,General,School ,1,Instruction,,,63653.61975,,,General Fund,
95726,Salaries for Support Personnel,Undistributed,,BUS DRIVER,,General,Transportation Office,0.7708,Student Transportation,,,20248.18407,,,General Fund,
238443,Salaries for Support Personnel,Undistributed,,TELEC TECH III,,General,Network Support,1,Data Processing Services,,,61120.18724,,,General Fund,
170732,Professional Salaries,Basic Educational Services,, AD SOC SC,,General,School ,1,Instruction,,,52514.3362,,,General Fund,
246308,Professional Salaries,Bilingual Education,,T-EL KIN BIL,,General,School ,1,Instruction,,,68379.73752,,,General Fund,
22621,Professional Salaries,Accelerated Education,,,,Solution Team,Assoc Superintendent-Area  Elementary ,,Curriculum & Instructional Staff Development,,,-0.15,,,General Fund,
230142,Professional Salaries,Basic Educational Services,,T-EL KIN,,General,School ,1,Instruction,,,52626.629,,,General Fund,
95538,General Supplies,Basic Educational Services,,,,Choral Music,School ,,Instruction,,,1080.61,,,General Fund,
369927,Professional Salaries,Basic Educational Services,,T-EL LIT COACH,,General,School ,0.5,Instruction,,,33976.79293,,,General Fund,
392835,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,,PARENT SUP SPEC,,General,School ,0.5,Community Services,,,19764.053,,,Title I- Part A,
143329,Professional Salaries,Accelerated Education,,SEL SPECIALIST,,Cycle  (used for grants),Social Emotional Learning,1,Instructional Leadership,,,81171.4043,,,A Foundation  (effective ,
123266,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,33231.38629,,,General Fund,
330460,Employee Allowance,Basic Educational Services,,TRAVEL,,Band,School ,,Instruction,,,1121.491331,,,General Fund,
421947,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,28185.89234,,,General Fund,
389041,Professional Salaries,Special Education,,T-HS/SE ENGLISH,,General,School ,1,Instruction,,,52740.22087,,,General Fund,
374372,Professional Salaries,Bilingual Education,,T-EL 1ST ESL,,General,School ,1,Instruction,,,53190.19357,,,General Fund,
398705,Salaries for Support Personnel,Undistributed,,ACCTG TECH I,,General,School ,1,School Leadership,,,33850.60798,,,General Fund,
395292,Professional Salaries,Special Education,,T-MS/SE INCLUS,,General,School ,1,Instruction,,,52514.6562,,,General Fund,
357391,Salaries for Support Personnel,Undistributed,,PLUMBING SPEC,,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,,,63580.08683,,,General Fund,
350939,General Supplies,Basic Educational Services,,,,Art,School ,,Instruction,,,1438.49,,,General Fund,
27216,Professional Salaries,Bilingual Education,,T-EL KIN ESL,,General,School ,1,Instruction,,,54202.77934,,,General Fund,
383793,Salaries for Support Personnel,Undistributed,,BUS DRIVER,,General,Transportation Office,0.5,Student Transportation,,,15584.61179,,,General Fund,
334243,Miscellaneous Contracted Srvcs,Basic Educational Services,,,,Band,School ,,Instruction,,,0.6,,,General Fund,
263879,Food/Refreshment,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Curriculum & Instructional Staff Development,,,1999.74,,,Title I- Part A,
447378,Salaries for Support Personnel,Special Education,,BUS MONITOR,,General,Transportation Office,0.5,Student Transportation,,,12859.81466,,,General Fund,
344635,Extra Duty/Signing Bonus Pay,Accelerated Education,,,,Tutoring,School ,,Instruction,,,3449.347469,,,General Fund,
142580,Professional Salaries,Special Education,,T-EL/SE SOC BEH,,General,School ,1,Instruction,,,52514.6462,,,General Fund,
106720,Extra Duty/Signing Bonus Pay,Special Education,,,,Cycle  (used for grants),School ,,Curriculum & Instructional Staff Development,,,0.4,,,IDEA-B Formula,
219312,Professional Salaries,Bilingual Education,,T-EL 5TH ESL,,General,School ,1,Instruction,,,52965.9689,,,General Fund,
377795,Professional Salaries,Basic Educational Services,,T-EL 1ST,,General,School ,1,Instruction,,,54876.69008,,,General Fund,
141719,Employee Allowance,Undistributed,,TRAVEL,,General,School ,,School Leadership,,,732.8127807,,,General Fund,
113574,General Supplies,Basic Educational Services,,,,Band,School ,,Instruction,,,500.19,,,General Fund,
142612,Salaries for Support Personnel,Undistributed,,FOOD PROD SP IV,,General,School ,0.75,Food Services,,,22247.36101,,,Nat'l Schl Breakfast & Lunch Prog.,
447018,General Supplies,Basic Educational Services,,,,Science,School ,,Instruction,,,98.94,,,General Fund,
238394,Reading Materials including Library Books,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,499.46,,,General Fund,
420569,Professional Salaries,Undistributed,,CHF ACADEM OFCR,,General,Chief Academic Officer,1,Instructional Leadership,,,202137.4476,,,General Fund,
128781,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,42317.26927,,,IDEA-B Formula,
407238,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.5,Food Services,,,13763.03988,,,Nat'l Schl Breakfast & Lunch Prog.,
354616,General Supplies,Basic Educational Services,,,,Dance,School ,,Instruction,,,27899.96,,,General Fund,
158667,Professional Salaries,Special Education,,T-HS/SE ENGLISH,,General,School ,1,Instruction,,,53527.73441,,,General Fund,
227210,Professional Salaries,Basic Educational Services,, ENGLISH,,General,School ,0.33,Instruction,,,19974.02812,,,General Fund,
322579,Employee Allowance,Undistributed,,CELL PHONE,,Mobile Phone,Early Childhood,,Instructional Leadership,,,524.2208565,,,General Fund,
379011,Professional Salaries,Accelerated Education,,COUNS- ELEM,,General,School ,1,"Guidance, Counseling and Evaluation Services",,,55337.68003,,,General Fund,
158763,Reading Materials including Library Books,Basic Educational Services,,,,Art,School ,,Instruction,,,-0.3,,,General Fund,
243048,Salaries for Support Personnel,Undistributed,,PAINTER II,,General,Service Center Bldg & Grounds,1,Plant Maintenance & Operations,,,46495.94504,,,General Fund,
169407,Employee Travel  (including In-District and Out-of-District),Undistributed,,,,Line Item that is paid with Campus' money,School ,,School Leadership,,,2500.66,,,General Fund,
37589,Professional Salaries,Basic Educational Services,,T-HS ENGLISH,,General,School ,1,Instruction,,,52852.62367,,,General Fund,
145879,Textbooks ,Career and Technology,,,,Business,School ,,Instruction,,,1108.73,,,General Fund,
207304,General Supplies,Special Education,,,,Special Education,School ,,Instruction,,,619.71,,,IDEA-B Formula,
12356,Reading Materials including Library Books,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Curriculum & Instructional Staff Development,,,400.69,,,General Fund,
123005,Extra Duty/Signing Bonus Pay,Athletics and Related,,"HC, TRACK",,General,School ,,Cocurricular & Extra Curricular Activities,,,1815.919466,,,Athletics,
281615,General Supplies,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,9999.44,,,Title I- Part A,
107168,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,32885.99962,,,IDEA-B Formula,
384076,Salaries for Support Personnel,Undistributed,,CUSTODIAN I,,General,School ,1,Plant Maintenance & Operations,,,29018.67929,,,General Fund,
274365,General Supplies,Career and Technology,,,,Tech Lab,School ,,Instruction,,,999.71,,,General Fund,
308849,Substitute Teachers,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,7498.862667,,,General Fund,
174345,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.625,Food Services,,,14146.69075,,,Nat'l Schl Breakfast & Lunch Prog.,
182339,Professional Salaries,Special Education,,T-ML/SE MULT HD,,General,ABD,1,Instruction,,,52964.0689,,,General Fund,
320578,Miscellaneous Contracted Srvcs,Undistributed,,,,Police Dept Courier Srvc,School ,,Food Services,,,1664.79,,,Nat'l Schl Breakfast & Lunch Prog.,
24814,Professional Salaries,Basic Educational Services,,T-EL 5TH ESL,,General,School ,1,Instruction,,,53864.67431,,,General Fund,
376038,Copier Rental,Undistributed,,,,General,Social Studies,,Instructional Leadership,,,2300.63,,,General Fund,
170645,Professional Salaries,Basic Educational Services,,,,General,School ,1,Instruction,,,52513.7662,,,General Fund,
43577,Salaries for Support Personnel,State Comp.Ed.-Support Title I Campuses,,PARENT SUP SPEC,,Account For Learning,School ,0.5,Community Services,,,18617.13134,,,General Fund,
378559,Salaries for Support Personnel,Undistributed,,FOOD PROD SP II,,General,School ,0.65625,Food Services,,,16418.50764,,,Nat'l Schl Breakfast & Lunch Prog.,
150608,Professional Salaries,Special Education,,T-EL/SE SCORES,,General,School ,1,Instruction,,,56475.78147,,,General Fund,
372787,Field Trips,State Comp.Ed.-Support Title I Campuses,,,,Cycle  (used for grants),School ,,Instruction,,,-0.96,,,Title I- Part A,
21762,Career Ladder,Career and Technology,,CL ,,General,School ,,Instruction,,,3276.765353,,,General Fund,
251888,Professional Salaries,Undistributed,,COUNS- HS,,General,School ,1,"Guidance, Counseling and Evaluation Services",,,60061.23698,,,General Fund,
137795,Professional Salaries,Accelerated Education,,T-MS AVID,,AVID supplement,School ,0.67,Instruction,,,35486.21157,,,General Fund,
267903,Professional Salaries,Accelerated Education,,T-EL BIL LIT CO,,Reading Literacy,School ,1,Instruction,,,65679.19373,,,General Fund,
411907,Career Ladder,Bilingual Education,,CL ,,General,School ,,Instruction,,,3276.855353,,,General Fund,
369996,Professional Salaries,Accelerated Education,,BIL INST/CURR S,,Cycle  (used for grants),School ,0.5,Instruction,,,28322.28927,,,Literacy Initiative (Effective ,
68308,Professional Salaries,Basic Educational Services,, MATH,,General,School ,1,Instruction,,,54203.10934,,,General Fund,
203896,General Supplies,Special Education,,,,Special Education,State Hospital,,Instruction,,,644.31,,,General Fund,
240542,Miscellaneous Contracted Srvcs,Undistributed,,,,Laundry,School ,,Food Services,,,310.07,,,Nat'l Schl Breakfast & Lunch Prog.,
63015,Employee Allowance,Special Education,,TRAVEL,,Speech Therapist,School ,,Instruction,,,433.2177066,,,General Fund,
72154,Software,State Comp.Ed.-Support Title I Campuses,,,,General,School ,,Instruction,,,5999.56,,,Title I- Part A,
44857,Reading Materials including Library Books,Undistributed,,,,Line Item that is paid with Campus' money,School ,,Instructional Resource & Media Services,,,4899.55,,,General Fund,
226935,Federal Revenue,,,,,General,,,Miscellaneous,,,40870.67,,,IDEA-B-Deaf,
417177,Salaries for Support Personnel,Special Education,,TCHR ASST- BIL,,General,School ,1,Instruction,,,31027.32096,,,General Fund,
324996,Professional Salaries,Basic Educational Services,,T-EL P.E.,,General,School ,1,Instruction,,,52514.4162,,,General Fund,
95004,Salaries for Support Personnel,Accelerated Education,,HIGH DOSE TUTOR,,Support NI-AU (Needs Improvement-Academically Unacceptable),School ,1,Instruction,,,29709.04525,,,General Fund,
51535,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,Primary Center,1,Instruction,,,31824.15308,,,General Fund,
129669,Professional Salaries,Special Education,,T-HS/SE SBS,,General,School ,1,Instruction,,,54203.43934,,,General Fund,
96103,Extra Duty/Signing Bonus Pay,Basic Educational Services,,NATIONAL BOARD,,National Board,School ,,Instruction,,,2185.350599,,,General Fund,
324349,Professional Salaries,High School Allotment,,T-HS SCI- GEN'L,,General,School ,0.33,Instruction,,,17782.38286,,,General Fund,
309625,Professional Salaries,Prekindergarten,,T-EL PK ESL,,Pre-K,School ,1,Instruction,,,53774.23768,,,General Fund,
390156,Salaries for Support Personnel,Special Education,,TCHR ASST- SP E,,General,School ,1,Instruction,,,35198.36882,,,General Fund,
316533,Subs for Support Personnel,Basic Educational Services,,,,General,School ,,Instruction,,,9790.564159,,,General Fund,
162240,Part-Time Hourly,Accelerated Education,,,,University,"School, Family and Community Education",,Curriculum & Instructional Staff Development,,,13078.13128,,,General Fund,
80147,Salaries for Support Personnel,Undistributed,,FOOD PROD SP I,,General,School ,0.625,Food Services,,,15437.75631,,,Nat'l Schl Breakfast & Lunch Prog.,
86378,Professional Salaries,Undistributed,,INSTR/CURR SPEC,,General,School ,0.33,Curriculum & Instructional Staff Development,,,21087.1385,,,General Fund,
66514,Professional Salaries,Special Education,,T-EL/SE,,General,School ,1,Instruction,,,53189.63357,,,General Fund,
332580,Career Ladder,Basic Educational Services,,,,General,School ,,Instruction,,,1638.477677,,,General Fund,
375605,General Supplies,Basic Educational Services,,,,Line Item that is paid with Campus' money,School ,,Instruction,,,72337.63,,,General Fund,
