,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
175133,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher-Middle School,,,,,1,,,MS SOCIAL SCIENCE ,45660.15,MIDDLE SCHOOL PROGRAM  6-8,General Fund,
416751,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,5162.96,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
418468,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Case Partnership Project,"TEACHER, ADD'L STAFF UNIT",,Undistributed,Extended Day,School ,,Social Work Services,Instruction And Curriculum,TEACHER BACHELOR,196.6020692,Undistributed,Title Iv Part B  Century Community Learning Ce,EXTENDED DAYS
140039,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TRANSPORTATION,GENERAL FUND,Bus Driver Less than  Yr ,n/a,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",344.2644,TRANSPORTATION-OPERATIONS,,STUDENT TRANSPORTATION
100267,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.006465517,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,163.9919077,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
58596,Student Transportation,NO_LABEL,Shared Services,Non-School,NO_LABEL,Other,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Bus Driver,,,,Transportation,1,,,BUS DRIVER,19770.43,PUPIL TRANSPORTATION,General Fund,
346591,School Administration,Leadership,School Reported,School,Unspecified,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PROFESSIONAL SERVICES,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,5000.72,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
75199,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Teacher Retirement,PAYROLL,,,,,Teacher Retirement,School ,,Community Services,Instruction And Curriculum,,323.54,Bilingual Education And Special Language Programs,Title Iii Part A - Lep,
184741,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,SPECIAL EDUCATION INSTRUCTION,LOCAL,EDUCATIONAL THERAPY ASST,,,,,0.875,,,,33068.26827,,,
357346,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,AFTERSCHOOL PROGRAMS,"SUMMER ED, ARTS & SPORTS - SEAS","SITE COORD, AFTER SCHOOL",,,,OFC COM & ED PROG-AFTER SCHOOL COORD,0.5,,,,25817.17166,,,
296462,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,LOSS ON DISPOSAL,YEAR END,FIXED ASSETS GROUP OF ACCOUNTS,(blank),,,,ORGANIZATION DISTRICT-WIDE,,NON-PROJECT,,UNDESIGNATED,-46.11,OTHER GENERAL EDUCATION,,VOCATIONAL EDUCATION
389991,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,335.9,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
54304,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,CORE MATTERS,,PROFESSIONAL-INSTRUCTIONAL,9.3,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
173473,Extended Time & Tutoring,Instruction,School on Central Budgets,Non-School,Poverty,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,EXTRA DUTY PAY-INSTRUCTIONAL  ,,,"TEACHER, MATH-HIGH            ",,,,FED COMPENSATORY ED PROG      ,,BASIC (FEFP K-12)             ,,,476.13,,FED THRU STATE-CASH ADVANCE   ,TITLE I SCHOOL IMPROVEMENT  
248893,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUBSTITUTE BUS ASSISTANT      ,,,,TRANSPORTATION                ,0,PUPIL TRANSPORTATION SERVICES ,,,130.286,,GENERAL FUND                  ,
229238,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,PRIMARY EARLY INTERVENTION PROG ,,,,,,,INSTRUCTION,,,99.94,PRIMARY GRADES EARLY INTERVENTION PROGRAM  ,General Fund,
329045,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Secretary I ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,396.37,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
289437,Substitute Compensation,Instruction,NO_LABEL,Non-School,NO_LABEL,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,,,,,,,,,,,,,4305.96,,,
437564,Food Services,O&M,Shared Services,School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Child Nutrition,"CAFETERIA EMPLOYEE, FOOD SERV.",,Undistributed,Salaries Or Wages For Support Personnel,School ,0.75,Food Services (Child Nutrition Fund Only),Child Nutrition,REG FOOD SERVICE WORKER ,11363.32428,Undistributed,National School Breakfast And Lunch Program,REGULAR PAY
13693,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Regular Instruction,,,,Supplies And Materials,,,Elementary,,,42372.45,,Miscellaneous Federal Grants,TITLE II D TECH EETT COMP
327717,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,EMPLOYEE BENEFITS,UNASSIGNED PERS/PAID LEAVES,GENERAL FUND,"Teacher, Elementary ",n/a,,,PERSONNEL-PAID LEAVE,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,,STAFF SERVICES,,CENTRAL
370871,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Year,Summer School,,Instruction,Instruction And Curriculum,TEACHER MASTER,1564.980163,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED YEAR
230876,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,SCHOOL ADMINISTRATIVE SUPPORT,LOCAL,REGISTRAR,,,,,1,,,,39657.64933,,,
300093,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,BOOKS AND PERIODICALS,, MILL LEVY,(blank),Regular,,,,,TEXTBOOKS FOR ,,UNDESIGNATED,656.28,SOCIAL SCIENCES,,REGULAR INSTRUCTION
390743,Food Services,O&M,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Food Service Worker II ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-30.91,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
183637,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, PRE-K",,,Salaries And Wages For Teachers And Other Professi,School ,0.5,Instruction,All Campus Payroll,TEACHER BACHELOR,26249.15111,PRE-K,General Operating Fund,REGULAR PAY
225210,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0,BASIC (FEFP K-12)             ,,,7248.92,,GENERAL FUND                  ,
154927,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Other Professional and Technical Services,,Site Acquisition Services *,,,,Professional And Technical Services *,,,Site Acquisition Services *,,,0.51,,Permanent Improvement,LFI   LOCAL     LFI
349322,Research & Accountability,Leadership,Shared Services,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,GENERAL FUND,Teacher Secondary (Middle) ,n/a,,,SCHOOL CHOICE,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,1534.58,"PLANNING,RESEARCH,DEVELOPMENT",,CENTRAL
394428,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,Secretary II ,Regular,,,,,NON-PROJECT,,OFFICE/ADMINISTRATIVE SUPPORT,3979.5,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
174449,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",SUPPLIES                      ,,,,,,,CHARTER,,BASIC (FEFP K-12)             ,,,4292.72,,CONVERSION CHARTER SCHOOLS    ,
27950,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Custodian,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"CUSTODIANS, SUBSTITUTES",,Custodial - Substitutes,Temporary / Part-Time Support Personnel,Unallocated,0.02,Facilities Maintenance And Operations,Custodial Department,ANY CUS WHO IS NOT A SUPER ,564.6881906,Undistributed,General Operating Fund,REGULAR PAY
432725,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Special Education Instruction,,,0,,,RETIREE SUBSTITUTE TEACHER,66.19,Instruction - SPED,General Purpose School,
54678,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Personal Services - Employees Salaries and Wages,,Support Services - Instructional Staff,,,,Personal Services - Employees Salaries And Wages,,,Other Improvements of Instruction Services *,,,1063.14,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I CARRYOVER
324851,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Other Compensation/Stipend,PreK,PreK-12 Operating,BONUSES                       ,,,TEACHER ASSISTANT-PK EARLY INT,,,,School ,,PREKINDERGARTEN               ,,,169.99,,GENERAL FUND                  ,CLASSIFIED CLERICAL BONUS     
89333,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA S - TEACHING SPANISH ONLY,,PROFESSIONAL-INSTRUCTIONAL,8729.41048,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
82399,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0,INST STAFF TRAINING SVCS      ,,,76.23,,GENERAL FUND                  ,SUMMIT SUBCONTRACT        
374865,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",BONUSES                       ,,,"TEACHER, FOURTH               ",,,,CHARTER,,BASIC (FEFP K-12)             ,,,890.62,,CONVERSION CHARTER SCHOOLS    ,SCHOOL RECOGNITION            
5304,Other Non-Compensation,Instruction,School Reported,School,Unspecified,Non-Position,Supplies/Materials,NO_LABEL,PreK-12 Operating,OTHER SUPPLIES,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,32.68,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
181173,Substitute Compensation,Instruction,School Reported,School,Unspecified,Teacher,Substitute Compensation,NO_LABEL,PreK-12 Operating,TEACHER COVERAGE FOR TEACHER,TEACHER SUBS,GENERAL FUND,Teacher Secondary (Middle) ,Turnaround,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,178.54176,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
120180,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,ELA General Assignment ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-21.26,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
103253,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplies and Materials,,Community Services,,,,Supplies And Materials,,,Other Community Services *,,,1567.44,,Title I - Disadvantaged Children/Targeted Assistance, TITLE I PI+HOMELESS
395095,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ARTS ED,,PROFESSIONAL-INSTRUCTIONAL,80.16,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
437470,Aides Compensation,Instruction,School Reported,School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Spec Ed Asst, Mild/Moderate ",Regular,,,,,SPECIAL ED. - MILD/MODERATE,,PARAPROFESSIONAL,787.78,SPECIAL EDUCATION-CONVERSION,,SPECIAL EDUCATION
20685,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,CUSTODIAN REGULAR,,,Salaries Or Wages For Support Personnel,School ,1,Facilities Maintenance And Operations,Custodial Department,HEAD CUS MIDDLE SCHOOL ,34387.88932,Undistributed,General Operating Fund,REGULAR PAY
311667,Substitute Compensation,Instruction,School Reported,School,Poverty,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Clerical,,,,,Title I - Other Salaries,,,0,,,SUBSTITUTE TEACHER,168.1799,Support - Regular Instruction,School Federal Projects,ESEA TITLE I DISADVANTAGED
127347,Aides Compensation,Instruction,School Reported,School,At Risk,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,State Ed. Allotment,"CLASSROOM AIDE, ESL ED.",,,Salaries Or Wages For Support Personnel,School ,0.96,Instruction,All Campus Payroll,AIDE,20819.3122,"""Title I, Part A Schoolwide Activities Related To State Comp",General Operating Fund,REGULAR PAY
193153,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,"TEACHER, REGULAR",,Basic Educational Services - District Objective ,Salaries And Wages For Teachers And Other Professi,School ,0.62,Instruction,All Campus Payroll,TEACHER BACHELOR,25691.477,Basic Educational Services,General Operating Fund,REGULAR PAY
414587,Curriculum Development,ISPD,Shared Services,Non-School,Gifted,Non-Position,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITAL EQUIPMENT,GIFTED AND TALENTED,GENERAL FUND,(blank),n/a,,,GIFTED AND TALENTED,,STATE - GIFTED AND TALENTED,,UNDESIGNATED,488.98,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
41112,School Administration,Leadership,School Reported,School,Special Education,NO_LABEL,Supplies/Materials,PreK,PreK-12 Operating,General Supplies,SUPPLIES,,,,Supp and Materials that do not require specific approval,General Supplies,School ,,Instructional Leadership,Instruction And Curriculum,,1373.17,PRE-K,Idea Part B Preschool,
85080,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Poverty,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,ARRA - STIMULUS,"Teacher, Summer School ",n/a,,,ALL SCHOOLS-UNDISTRIBUTED,,TITLE I A - ARRA,,PROFESSIONAL-INSTRUCTIONAL,3327.21384,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
274253,Teacher Compensation,Instruction,School Reported,School,Gifted,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,BONUSES                       ,,,"TEACHER, GIFTED               ",,,,School ,,EXCEPTIONAL                   ,,,1097.95,,GENERAL FUND                  ,SCHOOL RECOGNITION            
397967,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Targeted Pre-K Initiative,,,0,,,SUBSTITUTE TEACHER,70.8,Support - Regular Instruction,ITEMFA Schools Partnership,PRE KINDERGARTEN
31214,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL       ,,,CUSTODIAN                     ,,,,School ,0.5,OPERATION OF PLANT            ,,,3264.145543,,GENERAL FUND                  ,
163039,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0,BASIC (FEFP K-12)             ,,,77.09,,GENERAL FUND                  ,
308547,Student Transportation,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,"TRANSPORTATION,BUS DRIVERS,REG",,Transportation - Bus Drivers,Salaries Or Wages For Support Personnel,Undistributed,0.84,Transportation,Transportation Department,BUS DRIVER,17790.36458,Undistributed,General Operating Fund,REGULAR PAY
182688,Untracked Budget Set-Aside,Untracked Budget Set-Aside,School on Central Budgets,Non-School,Unspecified,Teacher,Benefits,Non PreK,PreK-12 Operating,Group Health And Life Insurance,,Operations,,,Basic Educational Services - District Objective ,Group Health And Life Insurance,Undistributed,,Instruction,Campus Overtime,TEACHER MASTER,329.56,Basic Educational Services,General Operating Fund,EMPLOYER MEDICAL FRINGE
259015,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,SPECIAL PROGRAM FUNDING,,PROFESSIONAL-INSTRUCTIONAL,4611.37,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
125675,Aides Compensation,Instruction,School Reported,School,ELL,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,ELA General Assignment ,Regular,,,,,STATE ELPA (ENG LANG PROF ACT),,PARAPROFESSIONAL,137.46,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
371146,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Teachers,,,TCHER DRIVERS ED SECONDARY,,Regular Instruction,,,1,,,TEACHER,51821.23,Instruction - Regular,General Purpose School,
17685,Teacher Compensation,Instruction,School Reported,School,NO_LABEL,Teacher,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Teacher,,,,,1,,,MS SOCIAL SCIENCE ,76150.45,PROGRAM FOR INTELLECTUALLY GIFTED STUDENTS: CATEGORY VI,General Fund,
195723,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,EXT DAY TUITION PAID KINDERGAR,DISTRICT SPECIAL REVENUE FUNDS,"Teacher, Elementary ",Regular,,,,,EXT DAY TUITION PAID KINDERGAR,,PROFESSIONAL-INSTRUCTIONAL,231.14,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
71839,Substitute Compensation,Instruction,NO_LABEL,Non-School,NO_LABEL,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,,,,,,,,,,,,,6499.57,,,
408292,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,CERTIFICATED EMPLOYEES SALARIES AND WAGES,,Special Instruction,,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,89606.31,,Title I - Disadvantaged Children/Targeted Assistance,TITLE I PUBLIC SALARIES
59721,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,CORE MATTERS,,PROFESSIONAL-INSTRUCTIONAL,1.42,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
395493,Enrichment,NO_LABEL,School Reported,School,NO_LABEL,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,Extracurricular Supp,,,TEXTBOOK INVENTORY,,,,,,,,,1830.35,,,
384339,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Purchased Services,,Community Services,,,,Purchased Services,,,Non-Public School Services *,,,4419.02,,Title I - Disadvantaged Children/Targeted Assistance,ARRA - NONPUBLIC SET ASID
207178,Food Services,O&M,School Reported,School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,FOOD SERVICES,FOOD SERVICE FUND,Food Service Worker II ,Regular,,,,0.005410417,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",79.59007465,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
239602,Parent & Community Relations,Pupil Services & Enrichment,Leadership & Management,Non-School,Poverty,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,FEDERAL GDPG FUND - FY ,Community School Child Care ,n/a,,,FEDERAL PROGRAMS/EXTERNAL RESO,0.014688526,TITLE I,,PARAPROFESSIONAL,327.4892953,COMMUNITY SERVICE,,COMMUNITY SERVICES OPERATION
352319,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUB TEACHER ALL               ,,,,School ,0,INST STAFF TRAINING SVCS      ,,,59.14,,GENERAL FUND                  ,
313827,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Regular Instruction,,,0,,,SUBSTITUTE TEACHER,70.42,Instruction - Regular,General Purpose School,
13470,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,,GENERAL EDUCATION,LOCAL,Teacher,,,,,1,,,,105157.3376,,,
82820,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,219.43592,GENERAL K-8 EDUCATION,,REGULAR INSTRUCTION
430976,Extended Time & Tutoring,Instruction,School Reported,School,ELL,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Title Iii Part A - Lep,"TEACHER, REGULAR",,,Extended Week,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,117.8233396,Bilingual Education And Special Language Programs,Title Iii Part A - Lep,EXTENDED DAYS
98221,Food Services,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIR AND MAINTENANCE SERVICES,,SCHOOL NUTRITION SERVICE,,,,,ADMIN. SERVICES,,SCHOOL NUTRITION,,,-6923.27,Misc,School Nutrition Service Fund,
10115,Facilities & Maintenance,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIR AND MAINTENANCE SERVICES,,MISCELLANEOUS,,,,,ADMIN. SERVICES,,MAINTENANCE AND OPERATING,,,243.79,Misc,General Fund,
186138,Utilities,O&M,School Reported,School,Unspecified,Non-Position,Rent/Utilities,NO_LABEL,PreK-12 Operating,SEWER FEES,OPERATIONS - UTILITIES,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,4784.58,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
284280,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Special Education Instruction,,,0,,,SUBSTITUTE TEACHER,71.25,Instruction - SPED,General Purpose School,
9511,Research & Accountability,Leadership,Leadership & Management,Non-School,Special Education,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,ASSESSMENT AND RESEARCH,GENERAL FUND,Teacher,n/a,,,ASSESSMENT & RESEARCH,,ELA S - TEACHING SPANISH ONLY,,PROFESSIONAL-INSTRUCTIONAL,17.98168,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
211646,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Non-Position,Contracted Services,NO_LABEL,PreK-12 Operating,REPAIRS AND MAINTENANCE SVCS,,GENERAL FUND,(blank),Regular,,,,,NON-PROJECT,,UNDESIGNATED,251.72,SUPPORT SERVICES-SCHOOL ADMIN,,SCHOOL ADMINISTRATION
335881,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Supplemental *,,Special Instruction,,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,-0.78,,Title I - Disadvantaged Children/Targeted Assistance,BUILDING ALLOCATIONS
